feature,label,design_axis,placement,point_index,x,y,baseline,x_5pct,x_95pct,training_support_n,unique_values
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,0,0,1.8653206,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,1,0.0039709527,1.8669074,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,2,0.0079419054,1.8684995,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,3,0.011912858,1.8684995,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,4,0.015883811,1.8687346,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,5,0.019854763,1.8687346,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,6,0.023825716,1.8687346,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,7,0.027796669,1.8610039,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,8,0.031767622,1.860211,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,9,0.035738574,1.8583097,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,10,0.039709527,1.85292,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,11,0.04368048,1.8505467,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,12,0.047651432,1.8505467,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,13,0.051622385,1.8505467,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,14,0.055593338,1.8505467,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,15,0.05956429,1.849129,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,16,0.063535243,1.849129,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,17,0.067506196,1.849129,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,18,0.071477149,1.8484899,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,19,0.075448101,1.8484899,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,20,0.079419054,1.8308156,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,21,0.083390007,1.8213061,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,22,0.087360959,1.8213061,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,23,0.091331912,1.817521,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,24,0.095302865,1.817521,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,25,0.099273817,1.817521,1.8687346,0,0.21443145,1949,176
